,LASSO_coef,RF_importance,LASSO_rank,RF_rank,Combined_rank
CIITA,1.4809829736715578,0.2443151558077386,1.0,1.0,1.0
CD74,1.0378110699201397,0.2332530132385381,2.0,2.0,2.0
HLA-DQA1,0.7550924171547786,0.18731184715949212,3.0,3.0,3.0
HLA-DRA,0.4713992024124241,0.1851106493344985,4.0,4.0,4.0
HLA-DQB1,0.0,0.15000933445973266,5.0,5.0,5.0
