sample_id,group,dataset,IPS_raw,IPS_normalized
GSM647527,sepsis,GSE26378,549.6674512631757,1.0
GSM647528,sepsis,GSE26378,539.7482596264613,0.9818118728268778
GSM647529,sepsis,GSE26378,31.282591040107867,0.04947397855886623
GSM647530,sepsis,GSE26378,67.28489760089232,0.1154888872566254
GSM647531,sepsis,GSE26378,215.5752998078586,0.38739861464920183
GSM647532,sepsis,GSE26378,24.769082408020722,0.037530613849071096
GSM647533,normal,GSE26378,4.301150362625872,0.0
GSM647534,normal,GSE26378,6.711422277772149,0.004419546846158728
GSM647535,sepsis,GSE26378,142.76552493259607,0.2538924285224947
GSM647536,normal,GSE26378,22.966115432073096,0.03422463954708281
GSM647537,normal,GSE26378,5.580933997814823,0.002346649642773445
GSM647538,normal,GSE26378,5.834202073332003,0.002811049579291277
GSM647539,normal,GSE26378,10.077733718658944,0.010592116429809366
GSM647540,sepsis,GSE26378,187.56411825281,0.33603647234448947
GSM647541,sepsis,GSE26378,190.56176167315013,0.34153304119260164
GSM647542,sepsis,GSE26378,367.2780054564366,0.6655652439368476
GSM647543,sepsis,GSE26378,437.1254376976653,0.7936395897955693
GSM647544,sepsis,GSE26378,96.80261212204161,0.16961345357545995
GSM647545,sepsis,GSE26378,312.73058227687636,0.5655454534043424
GSM647546,sepsis,GSE26378,233.59066170551247,0.42043212234468197
GSM647547,sepsis,GSE26378,53.97885506890388,0.09109052874049321
GSM647548,sepsis,GSE26378,84.34287791242855,0.14676691137246975
GSM647549,sepsis,GSE26378,376.15414231911046,0.6818407946043842
GSM647550,sepsis,GSE26378,103.70391852389854,0.18226789590249953
GSM647551,sepsis,GSE26378,397.2250014787477,0.720476953686534
GSM647552,sepsis,GSE26378,83.54172200822785,0.14529788788701095
GSM647553,sepsis,GSE26378,46.52490191156858,0.07742273675366386
GSM647554,sepsis,GSE26378,102.9354877659962,0.18085887822642854
GSM647555,sepsis,GSE26378,299.4714782759682,0.5412331627860667
GSM647556,sepsis,GSE26378,38.44105919790924,0.06259996039159181
GSM647557,sepsis,GSE26378,142.82322124114953,0.2539982222036558
GSM647558,sepsis,GSE26378,163.3093791686507,0.2915622555765886
GSM647559,sepsis,GSE26378,107.04871786806099,0.18840102026064062
GSM647560,sepsis,GSE26378,186.58573070978576,0.3342424716124885
GSM647561,sepsis,GSE26378,250.53451683663263,0.45150088310811964
GSM647562,sepsis,GSE26378,236.35364593052802,0.4254984130569117
GSM647563,sepsis,GSE26378,267.1796590647507,0.4820219149368783
GSM647564,sepsis,GSE26378,149.72959987890826,0.266661965134516
GSM647565,sepsis,GSE26378,68.63446892119443,0.11796350169113225
GSM647566,normal,GSE26378,6.8760001842020815,0.0047213218296114435
GSM647567,sepsis,GSE26378,74.75941822923598,0.1291943923749306
GSM647568,sepsis,GSE26378,290.36524914379567,0.5245357080347635
GSM647569,sepsis,GSE26378,143.83717629731404,0.2558574405941031
GSM647570,sepsis,GSE26378,319.30964207830755,0.5776090147035413
GSM647571,sepsis,GSE26378,227.81256169412586,0.4098372249301454
GSM647572,sepsis,GSE26378,94.05263423753397,0.16457101167912958
GSM647573,sepsis,GSE26378,38.24438002071315,0.06223932355563162
GSM647574,sepsis,GSE26378,117.44199410957071,0.20745844317868223
GSM647575,normal,GSE26378,12.18137929794452,0.0144494240335463
GSM647576,sepsis,GSE26378,240.24531899156298,0.4326343014581729
GSM647577,sepsis,GSE26378,110.8131762061311,0.19530364393183913
GSM647578,sepsis,GSE26378,91.66306864294012,0.16018943256313356
GSM647579,sepsis,GSE26378,132.53294563748946,0.2351296643432453
GSM647580,sepsis,GSE26378,41.75693849470676,0.06868005608383039
GSM647581,sepsis,GSE26378,153.04272585056685,0.27273701224723224
GSM647582,sepsis,GSE26378,253.95047399585346,0.45776448456933966
GSM647583,sepsis,GSE26378,148.4757176833533,0.2643628091480085
GSM647584,sepsis,GSE26378,313.89953747579,0.5676888847036056
GSM647585,sepsis,GSE26378,39.217434958998716,0.06402354626370653
GSM647586,sepsis,GSE26378,374.6737374543822,0.6791262798602871
GSM647587,sepsis,GSE26378,192.58365376578956,0.3452404431521667
GSM647588,sepsis,GSE26378,98.44223993969518,0.17261992429971648
GSM647589,normal,GSE26378,13.268014877141656,0.016441911610066525
GSM647590,normal,GSE26378,5.774781330770295,0.0027020939242323044
GSM647591,sepsis,GSE26378,253.18996439814703,0.45636999137008877
GSM647592,sepsis,GSE26378,96.5267653484566,0.1691076526612313
GSM647593,sepsis,GSE26378,207.93753597093442,0.3733937818894362
GSM647594,sepsis,GSE26378,166.03719268666006,0.29656405622599613
GSM647595,sepsis,GSE26378,322.05056871514495,0.5826348599607775
GSM647596,sepsis,GSE26378,279.2518112517037,0.5041577751229928
GSM647597,sepsis,GSE26378,97.01278601595997,0.16999883472858823
GSM647598,sepsis,GSE26378,184.74476854981822,0.3308668282019448
GSM647599,sepsis,GSE26378,18.963750809967365,0.026885783780790096
GSM647600,sepsis,GSE26378,282.29893160479605,0.5097450663583711
GSM647601,sepsis,GSE26378,261.8903391652205,0.4723232593895955
GSM647602,sepsis,GSE26378,48.902883536868345,0.08178307515626237
GSM647603,sepsis,GSE26378,188.511099343291,0.33777288526350785
GSM647604,normal,GSE26378,5.792446192295192,0.00273448474393592
GSM647605,normal,GSE26378,9.819835597957269,0.010119226703627504
GSM647606,normal,GSE26378,4.470273851510527,0.0003101098997231494
GSM647607,normal,GSE26378,8.332540096060722,0.007392077080629874
GSM647608,normal,GSE26378,11.123560294165852,0.012509775393665329
GSM647609,sepsis,GSE26378,250.68089915257505,0.4517692941113311
GSM647610,sepsis,GSE26378,73.54700493062015,0.12697127500113284
GSM647611,sepsis,GSE26378,123.73205434526636,0.21899208620963048
GSM647612,sepsis,GSE26378,147.3783145304018,0.26235057782542887
GSM647613,sepsis,GSE26378,265.76871001046123,0.47943475644916167
GSM647614,sepsis,GSE26378,187.41751663735704,0.33576765922712065
GSM647615,sepsis,GSE26378,144.80555325643178,0.257633085619325
GSM647616,sepsis,GSE26378,187.33914108596872,0.33562394746631163
GSM647617,sepsis,GSE26378,76.18240137892529,0.1318036169407675
GSM647618,sepsis,GSE26378,177.77660848440286,0.31808980099305967
GSM647619,sepsis,GSE26378,220.4258601125308,0.396292747448868
GSM647620,sepsis,GSE26378,377.8834798070352,0.6850117596696423
GSM647621,normal,GSE26378,18.395536782451963,0.025843889504269663
GSM647622,normal,GSE26378,4.700487936431003,0.0007322373478994106
GSM647623,normal,GSE26378,6.7184632232129555,0.004432457334814114
GSM647624,normal,GSE26378,5.515308573532059,0.0022263168972877084
GSM647625,normal,GSE26378,6.01087141425632,0.003134995779547118
GSM647626,normal,GSE26378,10.769276573696681,0.011860150142005753
GSM647627,sepsis,GSE26378,478.23024142278007,0.8690105902722021
GSM647628,sepsis,GSE26378,236.7014389336006,0.4261361367345542
GSM647629,sepsis,GSE26378,225.3579364321068,0.4053363504573997
GSM648590,sepsis,GSE26440,181.39008524561953,0.26673637705532666
GSM648591,sepsis,GSE26440,72.28611384756087,0.1001600316054236
GSM648592,sepsis,GSE26440,179.96634013878617,0.26456264997913054
GSM648593,sepsis,GSE26440,158.82290274005064,0.2322815470366868
GSM648594,sepsis,GSE26440,134.17066410675426,0.19464332208416696
