FPR,TPR,Dataset
0.0,0.0,Training
0.0,0.012195121951219513,Training
0.0,0.975609756097561,Training
0.09523809523809523,0.975609756097561,Training
0.09523809523809523,1.0,Training
1.0,1.0,Training
0.0,0.0,Validation
0.0,0.061224489795918366,Validation
0.0,0.9081632653061225,Validation
0.03125,0.9081632653061225,Validation
0.03125,0.9897959183673469,Validation
0.375,0.9897959183673469,Validation
0.375,1.0,Validation
1.0,1.0,Validation
