Model,Accuracy,Sensitivity,Specificity,Precision,F1,AUC
Logistic (Training),0.8543689320388349,0.926829268292683,0.5714285714285714,0.8941176470588236,0.9101796407185628,0.91869918699187
Logistic (Validation),0.7923076923076923,1.0,0.15625,0.784,0.8789237668161435,0.9674744897959183
