Gene,Weight,LASSO_coef,RF_importance
CIITA,-0.49823708326153016,1.4809829736715578,0.2443151558077386
CD74,0.14914392401567755,1.0378110699201397,0.2332530132385381
HLA-DQA1,-0.9048010230092739,0.7550924171547786,0.18731184715949212
HLA-DRA,1.4227736284015813,0.4713992024124241,0.1851106493344985
HLA-DQB1,-1.0238880966472466,0.0,0.15000933445973266
