Gene,Weight,LASSO_coef,RF_importance
235568_at,1.0183009017609932,3.2307786877020463,0.12379819981089592
209369_at,0.7854514435428127,0.09221713020866838,0.07467061483304718
206177_s_at,0.5205021875948258,0.07564073401845946,0.026962524782031788
205844_at,0.8510657906765735,0.05445036279028792,0.014690622324995717
203725_at,0.6992600040019935,0.03234392831905833,0.012894312683455644
214511_x_at,0.9365591362828377,0.4850530017758422,0.006126502017772292
219669_at,0.5399284367955074,0.0,0.10701836214106462
207329_at,0.1306228592512279,0.0,0.08517939020228552
208470_s_at,0.3182549825188115,0.0,0.0716405588644943
206697_s_at,0.4321520462175634,0.0,0.05634932983360342
202018_s_at,0.9055107592497932,0.7182012769773306,0.002189690199794178
224707_at,0.8163181654239927,0.0,0.05188636872348517
201554_x_at,0.6645930302651578,0.0,0.05105823983646121
220570_at,0.43843423155541567,0.0,0.044511033986473214
1555728_a_at,0.7779123050966943,0.0,0.03877061794942785
