Model,Accuracy,Sensitivity,Specificity,Precision,F1,AUC
Logistic (Training),0.9805825242718447,0.975609756097561,1.0,1.0,0.9876543209876543,0.9976771196283392
Logistic (Validation),0.9846153846153847,0.9897959183673469,0.96875,0.9897959183673469,0.9897959183673469,0.9936224489795918
