Gene,SubclassA_Mean,SubclassBC_Mean,Log2FC,t_statistic,p_value,FDR,Direction
HLA-DRA,0.3662285714285714,0.5321142857142857,-0.43914800155419254,-2.5905606019261365,0.011074547278501152,0.02953212607600307,Down
HLA-DQB1,0.6341999999999999,0.9927742857142858,-0.5737504212504309,-1.5254096152501277,0.13044480934059546,0.14907978210353767,Down
HLA-DQA1,1.8631071428571429,2.439071428571429,-0.3711620664667338,-2.1086344091757643,0.037579581572374426,0.060127330515799084,Down
CIITA,0.7320714285714287,1.1404999999999996,-0.5761424493204007,-6.326160059466049,7.967396539104062e-09,6.37391723128325e-08,Down
HLA-DMA,0.6208321428571428,0.7403571428571428,-0.22133924401649957,-2.1197584477779055,0.036605703443563405,0.060127330515799084,Down
HLA-DMB,0.5387750000000001,0.7440428571428572,-0.4020084046099579,-2.003953922785261,0.047892852583449635,0.06385713677793284,Down
HLA-DPB1,0.4073428571428571,0.7230142857142857,-0.6979564374246374,-3.343215751340453,0.0011818674890303141,0.004727469956121257,Down
HLA-DRB1,0.9689285714285714,1.0513142857142859,-0.10711626238536096,-1.3197293698848906,0.19006394770950033,0.19006394770950033,Down
