threshold,TP,TN,FP,FN,sensitivity,specificity,Youden,accuracy
0.0,82,0,21,0,1.0,0.0,0.0,0.7961165048543689
0.001001001001001001,82,1,20,0,1.0,0.047619047619047616,0.04761904761904767,0.8058252427184466
0.002002002002002002,82,1,20,0,1.0,0.047619047619047616,0.04761904761904767,0.8058252427184466
0.003003003003003003,82,1,20,0,1.0,0.047619047619047616,0.04761904761904767,0.8058252427184466
0.004004004004004004,82,1,20,0,1.0,0.047619047619047616,0.04761904761904767,0.8058252427184466
0.005005005005005005,82,1,20,0,1.0,0.047619047619047616,0.04761904761904767,0.8058252427184466
0.006006006006006006,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.007007007007007007,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.008008008008008008,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.009009009009009009,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.01001001001001001,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.011011011011011011,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.012012012012012012,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.013013013013013013,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.014014014014014014,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.015015015015015015,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.016016016016016016,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.017017017017017015,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.018018018018018018,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.01901901901901902,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.02002002002002002,82,2,19,0,1.0,0.09523809523809523,0.09523809523809534,0.8155339805825242
0.02102102102102102,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.022022022022022022,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.023023023023023025,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.024024024024024024,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.025025025025025023,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.026026026026026026,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.02702702702702703,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.028028028028028028,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.029029029029029027,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.03003003003003003,82,3,18,0,1.0,0.14285714285714285,0.1428571428571428,0.8252427184466019
0.031031031031031032,82,4,17,0,1.0,0.19047619047619047,0.19047619047619047,0.8349514563106796
0.03203203203203203,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.03303303303303303,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.03403403403403403,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.035035035035035036,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.036036036036036036,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.037037037037037035,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.03803803803803804,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.03903903903903904,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04004004004004004,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04104104104104104,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04204204204204204,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.043043043043043044,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.044044044044044044,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04504504504504504,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04604604604604605,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04704704704704705,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04804804804804805,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.04904904904904905,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.050050050050050046,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.05105105105105105,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.05205205205205205,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.05305305305305305,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.05405405405405406,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.055055055055055056,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.056056056056056056,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.057057057057057055,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.058058058058058054,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.05905905905905906,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.06006006006006006,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.06106106106106106,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
0.062062062062062065,82,5,16,0,1.0,0.23809523809523808,0.23809523809523814,0.8446601941747572
