,HLA-DQB1,CD74,HLA-DMA,HLA-DPB1
1.005,0.273,0.507,0.341,0.398
1.028,0.272,0.495,0.346,0.33
1.199,3.365,1.117,1.294,2.186
1.306,0.0415,1.264,1.295,1.119
1.343,1.179,1.13,1.018,1.264
1.714,2.282,1.616,1.115,0.948
0.763,0.0383,1.108,0.988,0.682
0.846,1.06,0.603,0.748,0.433
0.686,0.0526,0.555,0.559,0.251
0.848,0.0595,1.136,1.0,0.631
0.659,0.0584,0.834,1.084,0.631
1.067,2.182,1.271,0.932,0.543
1.621,0.0517,1.248,1.052,1.095
1.281,0.116,0.27,0.413,0.516
1.288,0.692,0.431,0.749,0.994
1.244,0.43,0.519,0.808,0.467
1.111,0.625,0.685,0.816,0.872
0.699,2.959,0.869,0.826,1.394
1.054,1.056,0.629,1.091,1.063
1.222,0.0479,0.606,0.921,0.425
1.916,0.0435,0.925,1.185,1.722
0.815,2.04,0.708,0.735,5.282
1.808,0.697,1.034,1.027,0.375
1.319,0.764,0.575,0.758,1.276
1.618,0.586,0.212,0.797,0.407
1.741,0.943,0.303,0.71,0.733
1.4,0.0582,0.898,1.363,1.524
1.161,0.96,0.6,0.968,1.249
1.611,0.338,0.677,0.557,0.356
0.787,0.056,0.689,0.835,1.654
1.745,0.57,0.789,1.143,1.248
1.903,0.0423,0.518,0.954,0.425
1.027,0.6,0.423,0.526,0.509
0.739,0.288,0.488,0.723,0.878
2.454,0.313,0.717,1.076,0.265
1.057,0.0405,0.778,0.665,0.346
1.262,0.241,0.521,0.588,0.161
0.779,0.0474,0.715,0.779,0.745
1.207,0.0454,1.011,1.26,1.638
0.954,1.819,1.027,0.921,0.678
0.776,2.408,1.006,1.025,0.841
1.389,0.0488,0.717,0.83,1.155
0.749,0.0574,0.248,0.749,0.294
2.486,0.0464,0.615,0.984,1.295
1.057.1,0.0438,0.27,0.521,0.241
1.164,0.0484,0.685,1.008,0.599
1.635,0.0716,1.287,1.338,3.222
0.753,0.721,0.763,1.177,0.307
0.876,0.932,1.296,1.496,2.043
1.116,1.697,0.606,0.929,0.295
1.167,0.0404,0.562,0.761,0.259
1.237,0.0524,0.53,0.595,0.913
1.188,0.445,0.23,0.709,0.472
0.625,0.582,0.472,0.71,0.259
1.576,1.487,0.834,0.962,1.745
1.294,0.117,0.391,0.741,0.228
1.268,0.0467,0.464,0.612,0.115
1.523,0.19,0.248,0.589,0.948
0.641,2.68,0.667,0.815,0.353
1.053,0.615,0.462,0.5,0.569
1.367,0.924,0.542,0.272,0.52
1.634,1.091,0.753,0.954,1.489
0.401,1.354,1.054,0.276,1.322
1.293,6.136,1.139,1.418,1.075
1.349,0.51,0.485,0.826,0.527
0.908,0.082,0.488,0.773,1.321
1.472,1.052,0.307,0.751,0.689
1.251,4.35,1.069,1.38,0.591
1.307,0.0417,0.471,0.781,0.458
1.071,0.199,0.673,0.839,1.897
1.537,1.653,0.732,1.055,0.663
1.46,1.276,0.67,0.907,1.214
1.167.1,1.77,0.674,1.037,2.441
0.971,0.043,0.101,0.317,0.389
1.357,0.559,0.306,0.445,0.257
0.728,0.691,0.372,0.549,1.183
0.919,0.0508,0.153,0.269,0.253
0.993,0.0383,0.987,1.195,1.528
1,0.0358,0.978,1.365,2.403
0.886,4.031,1.0,1.261,0.979
1.038,2.228,1.138,1.314,1.709
0.529,0.0502,1.013,0.792,2.499
1.127,0.452,0.334,0.684,0.386
1.063,1.245,0.613,0.988,1.822
1.517,2.484,0.566,0.82,0.981
1.266,0.613,0.605,1.259,1.059
1.549,1.99,0.883,1.145,1.0
1.267,1.0,0.638,0.963,0.876
1.35,0.433,0.769,0.859,0.477
1.111.1,0.0431,0.587,1.045,0.384
1.012,0.82,0.558,1.001,0.477
1.167.2,1.827,0.514,0.791,0.588
0.963,0.675,0.359,0.784,0.403
1.204,0.424,0.32,0.641,0.21
1.368,2.876,0.867,1.11,2.735
0.816,0.0356,0.837,1.265,0.544
1.189,6.357,0.727,0.871,0.897
1.153,2.917,1.309,1.552,0.945
0.912,1.575,0.621,1.307,0.597
0.782,2.044,0.483,0.65,1.149
1.017,0.0429,0.398,0.362,0.257
0.957,0.321,0.369,0.499,2.708
1.098,0.373,0.678,0.996,0.353
