,mean_sepsis,mean_normal,log2_fold_change,t_statistic,p_value
HLA-DRA,3.72869512195122,8.647761904761905,-1.2136559630218464,-2.819548447740438,0.00578867833191007
HLA-DQB1,0.8081871951219513,1.556352380952381,-0.9454073457500133,-3.6357069212736373,0.00043829322996194686
HLA-DQA1,0.8785975609756096,1.4041904761904762,-0.6764642486241051,-3.7883100109542958,0.0002579409279315658
CIITA,1.2741219512195119,0.9416190476190475,0.436287960754932,3.562516470354385,0.0005623202954506977
CD74,0.7826865853658536,1.0397119047619048,-0.40967720179761824,-3.2788214335093655,0.0014304669140512082
