dataset,n_total,n_normal,n_sepsis,HLA_DRA_normal_mean,HLA_DRA_sepsis_mean,HLA_DRA_log2FC,HLA_DRA_pvalue,IPS_normal_mean,IPS_sepsis_mean
GSE26378,103,21,82,8.647761904761905,3.72869512195122,-1.2136559630218464,0.00578867833191,3.8898713095238096,1.9130622256097563
GSE26440,130,32,98,1.58875,0.4772142857142856,-1.7351829884409795,1.439289683077316e-07,1.4593953125,0.7758475510204079
GSE13904,227,18,209,1.048321568888889,1.2031648637320576,0.1548432948431686,0.09703062884401063,-1.048321568888889,-1.2031648637320576
