gene,mean_Mars1,mean_other,log2FC,t_statistic,p_value,p_adjusted,significant,direction
HLA-DRA,7.035707251234067,7.196942051468935,-0.16123480023486803,-0.9926923980637997,0.32332976725757573,1.0,False,down
HLA-DQB1,2.8667194734001433,2.946937428080536,-0.08021795468039272,-0.8277027376170873,0.4098706064393986,1.0,False,down
HLA-DQA1,3.9753671067167495,4.078493919802128,-0.10312681308537819,-0.6382676826782571,0.5248034915490897,1.0,False,down
CIITA,2.4391310706819653,2.3167129840824385,0.1224180865995268,3.002804643927509,0.0034024270963324697,0.030621843866992227,True,up
CD74,6.204347334774636,6.692115310406736,-0.4877679756321003,-2.207269650767956,0.029653059137178178,0.2668775322346036,False,down
HLA-DMA,5.108028823117229,5.795656403761467,-0.6876275806442385,-2.520664875604218,0.013344568895540245,0.1201011200598622,False,down
HLA-DMB,4.145973056824174,4.288296084619854,-0.14232302779567974,-0.7013725932378803,0.484749822663328,1.0,False,down
HLA-DPB1,4.755157620879991,4.877294564002742,-0.1221369431227517,-0.7843352563991025,0.43475465437521515,1.0,False,down
HLA-DRB1,7.5281363406859025,8.116918476455133,-0.5887821357692307,-2.0933778815294537,0.038924246953615564,0.3503182225825401,False,down
