Gene,Weight,LASSO_coef,RF_importance,GeneSymbol
235568_at,1.0183009017609932,3.2307786877020463,0.1237981998108959,235568_at
209369_at,0.7854514435428127,0.0922171302086683,0.0746706148330471,209369_at
206177_s_at,0.5205021875948258,0.0756407340184594,0.0269625247820317,206177_s_at
205844_at,0.8510657906765735,0.0544503627902879,0.0146906223249957,205844_at
203725_at,0.6992600040019935,0.0323439283190583,0.0128943126834556,203725_at
214511_x_at,0.9365591362828376,0.4850530017758422,0.0061265020177722,214511_x_at
219669_at,0.5399284367955074,0.0,0.1070183621410646,219669_at
207329_at,0.1306228592512279,0.0,0.0851793902022855,207329_at
208470_s_at,0.3182549825188115,0.0,0.0716405588644943,208470_s_at
206697_s_at,0.4321520462175634,0.0,0.0563493298336034,206697_s_at
202018_s_at,0.9055107592497932,0.7182012769773306,0.0021896901997941,202018_s_at
224707_at,0.8163181654239927,0.0,0.0518863687234851,224707_at
201554_x_at,0.6645930302651578,0.0,0.0510582398364612,201554_x_at
220570_at,0.4384342315554156,0.0,0.0445110339864732,220570_at
1555728_a_at,0.7779123050966943,0.0,0.0387706179494278,1555728_a_at
