sample_id,Mars_Type,cohort,IPS_score,IPS_group
GSM1691877,Mars1,Validation,0.20382996312054955,Low
GSM1691878,Mars2,Validation,0.18513592679842497,Low
GSM1691880,Mars1,Validation,0.28322924474112293,Low
GSM1691882,Mars2,Validation,0.08730141901162002,Low
GSM1691883,Mars4,Validation,0.15184844133227945,Low
GSM1691884,Mars3,Validation,0.18693713242267865,Low
GSM1691885,Mars2,Validation,0.07775973587200795,Low
GSM1691886,Mars4,Validation,0.04115517605015791,Low
GSM1691890,Mars4,Validation,0.03838199633247837,Low
GSM1691893,Mars1,Validation,0.24766154007345764,Low
GSM1691895,Mars3,Validation,0.019383032677582835,Low
GSM1691896,Mars3,Validation,0.24690458189054343,Low
GSM1691897,Mars3,Validation,0.22870312346580476,Low
GSM1691898,Mars1,Validation,0.036661721761265066,Low
GSM1691900,Mars3,Validation,0.2948377588118349,Low
GSM1691901,Mars2,Validation,0.3341485726610668,High
GSM1691903,Mars1,Validation,0.2305724274373217,Low
GSM1691904,Mars2,Validation,0.04140462827079707,Low
GSM1691905,Mars3,Validation,0.09225094683625447,Low
GSM1691909,Mars2,Validation,0.042916090362180755,Low
GSM1691911,Mars3,Validation,0.035228887164369296,Low
GSM1691915,Mars2,Validation,0.048807110452615134,Low
GSM1691918,Mars2,Validation,0.16085368632403926,Low
GSM1691923,Mars3,Validation,0.10046890606365393,Low
GSM1691925,Mars2,Validation,0.02953730009029251,Low
GSM1691927,Mars2,Validation,0.32844913820382404,High
GSM1691928,Mars3,Validation,0.14495792360280527,Low
GSM1691929,Mars3,Validation,0.09113929292643345,Low
GSM1691932,Mars1,Validation,0.36352901190841835,High
GSM1691933,Mars2,Validation,0.4433226198363735,High
GSM1691934,Mars4,Validation,0.027393976292713725,Low
GSM1691935,Mars2,Validation,0.44231348906755547,High
GSM1691937,Mars1,Validation,0.03955253953033778,Low
GSM1691938,Mars3,Validation,0.07391008291330527,Low
GSM1691941,Mars2,Validation,0.22979968175693596,Low
GSM1691942,Mars1,Validation,0.24491812464512194,Low
GSM1691943,Mars1,Validation,0.2075773072538164,Low
GSM1691944,Mars3,Validation,0.0792301854207837,Low
GSM1691946,Mars3,Validation,0.01929330663037951,Low
GSM1691947,Mars2,Validation,0.0035216104377374397,Low
GSM1691953,Mars2,Validation,0.028158536424507347,Low
GSM1691954,Mars2,Validation,0.0431782774700087,Low
GSM1691957,Mars1,Validation,0.0360372153335913,Low
GSM1691959,Mars2,Validation,0.026066029217001747,Low
GSM1691960,Mars3,Validation,0.016272673077535358,Low
GSM1691961,Mars4,Validation,0.045974440887184366,Low
GSM1691962,Mars3,Validation,0.01400075734134549,Low
GSM1691963,Mars4,Validation,0.023699738144985216,Low
GSM1691965,Mars2,Validation,0.08066221062835317,Low
GSM1691966,Mars1,Validation,0.20726075519673667,Low
GSM1691968,Mars2,Validation,0.028802763160390224,Low
GSM1691969,Mars1,Validation,0.015212844564596817,Low
GSM1691970,Mars1,Validation,0.028507391439244884,Low
